key_bits,recovered_zeros_x,recovered_zeros_y,wrong_zeros_x,wrong_zeros_y,queries,traces,calibration_traces,threshold,tpr,tnr,attack_tpr,attack_tnr,duration_seconds,test_outcomes_0_false,test_outcomes_0_true,test_outcomes_1_false,test_outcomes_1_true,test_outcomes_2_false,test_outcomes_2_true
17669,8069,9626,2,0,2340,,,,,,1,1,0.223667321,175,140,73,67,0,67
17669,7777,10020,0,0,2250,,,,,,1,1,0.231842031,160,143,79,64,0,64
17669,9121,8816,0,0,3206,,,,,,1,1,0.300164175,257,184,106,78,1,77
17669,9671,8018,0,0,2940,,,,,,1,1,0.315115549,243,176,101,75,0,75
17669,9607,8448,0,2,3372,,,,,,1,1,0.321586539,241,218,136,82,0,82
17669,8757,8962,0,0,3542,,,,,,1,1,0.337408455,284,214,134,80,0,80
17669,9142,8735,0,0,3640,,,,,,1,1,0.344658733,325,205,130,75,0,75
17669,8037,9807,2,0,4134,,,,,,1,1,0.387905627,350,248,163,85,0,85
17669,8944,9092,0,0,4262,,,,,,1,1,0.40028264,352,258,171,87,0,87
17669,9141,8544,2,2,4834,,,,,,1,1,0.462348886,427,283,196,87,0,87
17669,10377,7464,0,0,4984,,,,,,1,1,0.465167701,404,316,228,88,0,88
17669,9333,8347,0,0,5548,,,,,,1,1,0.49826118,503,320,220,100,0,100
17669,8611,9097,0,0,5258,,,,,,1,1,0.49909988,475,306,203,103,0,103
17669,9128,8556,0,0,5526,,,,,,1,1,0.516224392,521,309,209,100,0,100
17669,9454,8230,2,0,5630,,,,,,1,1,0.532790456,483,338,242,96,0,96
17669,8632,9045,0,0,3352,,,,,,1,1,0.323071297,293,193,122,71,0,71
17669,9541,8485,0,0,6470,,,,,,1,1,0.608547381,648,357,265,92,0,92
17669,8883,8963,0,0,3328,,,,,,1,1,0.313992655,284,192,117,75,0,75
17669,8832,8848,0,0,3430,,,,,,1,1,0.32242932,274,205,119,86,0,86
17669,9125,8560,0,0,6838,,,,,,1,1,0.645264804,681,376,265,111,0,111
17669,8619,9062,0,0,3336,,,,,,1,1,0.314074626,279,193,115,78,0,78
17669,8766,8929,0,0,6080,,,,,,1,1,0.665697126,566,356,260,96,0,96
17669,8940,8735,0,0,3808,,,,,,1,1,0.357800396,313,230,146,84,0,84
17669,8814,8868,0,0,2524,,,,,,1,1,0.240359307,195,149,83,66,0,66
17669,8668,9032,0,0,3192,,,,,,1,1,0.311645387,251,193,119,74,1,73
17669,8710,8992,0,0,5370,,,,,,1,1,0.501616201,466,327,238,89,0,89
17669,10229,7467,0,0,2396,,,,,,1,1,0.23008471,172,152,85,67,0,67
17669,9109,8723,0,0,9720,,,,,,1,1,0.898321568,911,569,444,125,0,125
