key_bits,recovered_zeros_x,recovered_zeros_y,wrong_zeros_x,wrong_zeros_y,queries,traces,calibration_traces,threshold,tpr,tnr,attack_tpr,attack_tnr,duration_seconds,test_outcomes_0_false,test_outcomes_0_true,test_outcomes_1_false,test_outcomes_1_true,test_outcomes_2_false,test_outcomes_2_true
17669,10322,9685,0,0,1159,,,,,,1,1,0.24373767,441,308,206,102,0,102
17669,8806,10927,0,0,1338,,,,,,1,1,0.283402876,556,336,226,110,0,110
17669,8891,10970,0,0,1320,,,,,,1,1,0.29758917,529,339,226,113,0,113
17669,8987,10708,2,2,1904,,,,,,1,1,0.394702234,839,467,336,131,3,128
17669,9583,10366,0,0,1986,,,,,,1,1,0.410452569,834,510,378,132,0,132
17669,10831,8844,0,0,2088,,,,,,1,1,0.430156885,920,518,386,132,0,132
17669,9843,9826,0,0,2157,,,,,,1,1,0.442691668,937,544,412,132,0,132
17669,9877,10163,2,0,2448,,,,,,1,1,0.506090433,1087,612,475,137,1,136
17669,10030,9645,0,0,2556,,,,,,1,1,0.522310984,1126,645,505,140,0,140
17669,9762,10191,0,2,2689,,,,,,1,1,0.550216177,1134,701,548,153,1,152
17669,9403,10296,0,0,1223,,,,,,1,1,0.254595721,464,329,228,101,0,101
17669,10990,8947,0,2,2809,,,,,,1,1,0.591417443,1182,737,584,153,0,153
17669,10136,9741,0,0,1160,,,,,,1,1,0.246976462,473,292,189,103,0,103
17669,9669,10006,0,0,3266,,,,,,1,1,0.675116751,1511,795,630,165,0,165
17669,10036,9645,0,0,3268,,,,,,1,1,0.680555542,1552,787,645,142,0,142
17669,9468,10202,0,1,3686,,,,,,1,1,0.756200706,1625,949,786,163,0,163
17669,9818,9879,0,0,2006,,,,,,1,1,0.409581058,834,522,394,128,0,128
17669,11285,8590,2,0,3448,,,,,,1,1,0.719888604,1565,866,715,151,3,148
17669,10022,9702,0,2,2275,,,,,,1,1,0.467683854,967,589,459,130,1,129
17669,9751,9939,0,0,3046,,,,,,1,1,0.619175894,1383,756,605,151,0,151
17669,10303,9395,1,2,5303,,,,,,1,1,1.069286798,2450,1339,1164,175,1,174
17669,10072,9803,0,0,2469,,,,,,1,1,0.504738755,1098,614,471,143,0,143
17669,9963,9893,2,0,1638,,,,,,1,1,0.341892117,742,393,283,110,0,110
17669,9578,10093,0,0,3870,,,,,,1,1,0.78184057,1748,970,788,182,0,182
17669,8952,10723,2,0,5954,,,,,,1,1,1.225678773,2644,1555,1355,200,0,200
17669,10494,9183,2,0,6193,,,,,,1,1,1.246528474,3083,1458,1264,194,3,191
17669,9735,10254,0,0,1403,,,,,,1,1,0.294531662,582,357,250,107,0,107
17669,10131,9843,0,0,1152,,,,,,1,1,0.239557285,463,288,175,113,1,112
17669,10308,9361,0,0,3091,,,,,,1,1,0.637648135,1421,754,592,162,3,159
17669,9244,10711,0,0,3899,,,,,,1,1,0.829733493,1772,978,807,171,1,170
17669,9903,10113,0,0,4110,,,,,,1,1,0.840596233,1909,1019,856,163,0,163
17669,9624,10172,2,0,7389,,,,,,1,1,1.501234307,3686,1764,1589,175,0,175
17669,9313,10702,0,0,4451,,,,,,1,1,0.904287912,2006,1128,939,189,1,188
