key_bits,recovered_zeros_x,recovered_zeros_y,wrong_zeros_x,wrong_zeros_y,queries,traces,calibration_traces,threshold,tpr,tnr,attack_tpr,attack_tnr,duration_seconds,test_outcomes_0_false,test_outcomes_0_true,test_outcomes_1_false,test_outcomes_1_true,test_outcomes_2_false,test_outcomes_2_true
17669,8369,9506,0,0,479,,,,,,1,1,0.108989197,151,133,71,62,0,62
17669,7777,10020,0,0,510,,,,,,1,1,0.11415085,160,143,79,64,0,64
17669,9190,8564,0,0,492,,,,,,1,1,0.116439739,176,127,65,62,1,61
17669,8069,9626,2,0,522,,,,,,1,1,0.125763313,175,140,73,67,0,67
17669,10043,7672,0,0,649,,,,,,1,1,0.145137391,233,172,100,72,0,72
17669,9462,8223,0,0,650,,,,,,1,1,0.145363983,210,185,115,70,0,70
17669,9121,8816,0,0,703,,,,,,1,1,0.151133784,257,184,106,78,1,77
17669,9415,8632,0,0,733,,,,,,1,1,0.160851883,265,193,111,82,0,82
17669,8868,8819,0,0,702,,,,,,1,1,0.161715663,242,191,113,78,0,78
17669,9607,8448,0,2,759,,,,,,1,1,0.163434235,241,218,136,82,0,82
17669,8883,8963,0,0,743,,,,,,1,1,0.165227497,284,192,117,75,0,75
17669,7836,9854,0,0,768,,,,,,1,1,0.172510046,300,194,114,80,0,80
17669,8740,9057,0,0,830,,,,,,1,1,0.18012092,291,230,151,79,1,78
17669,9579,8392,0,0,856,,,,,,1,1,0.183001645,347,216,139,77,0,77
17669,9101,8584,0,0,874,,,,,,1,1,0.188573353,326,233,151,82,0,82
17669,8965,8717,0,0,944,,,,,,1,1,0.201233088,320,266,174,92,0,92
17669,9395,8434,0,0,963,,,,,,1,1,0.209613771,400,241,160,81,0,81
17669,9208,8515,2,2,1088,,,,,,1,1,0.231223706,420,290,202,88,0,88
17669,8198,9500,0,0,546,,,,,,1,1,0.120140182,193,142,73,69,1,68
17669,8207,9503,0,0,1314,,,,,,1,1,0.275308217,546,340,252,88,0,88
17669,10229,7467,0,0,543,,,,,,1,1,0.110366043,172,152,85,67,0,67
17669,9034,8888,2,0,646,,,,,,1,1,0.143691022,234,169,95,74,0,74
17669,8632,9045,0,0,750,,,,,,1,1,0.169216435,293,193,122,71,0,71
17669,9313,8480,0,0,1455,,,,,,1,1,0.303539202,560,398,299,99,0,99
17669,8612,9209,0,0,1471,,,,,,1,1,0.305419016,624,372,269,103,0,103
17669,8086,9600,2,0,1358,,,,,,1,1,0.311739443,543,357,256,101,0,101
17669,8212,9526,0,0,719,,,,,,1,1,0.155411876,258,190,109,81,0,81
17669,8832,8848,0,0,770,,,,,,1,1,0.163290472,274,205,119,86,0,86
17669,8261,9552,0,0,642,,,,,,1,1,0.166603943,224,173,101,72,0,72
17669,9072,8643,0,0,866,,,,,,1,1,0.176039839,363,213,136,77,0,77
17669,8619,9062,0,0,743,,,,,,1,1,0.169380357,279,193,115,78,0,78
17669,9142,8557,0,0,1149,,,,,,1,1,0.26178868,459,299,207,92,0,92
17669,8180,9649,0,0,1164,,,,,,1,1,0.245370828,430,319,223,96,1,95
17669,8950,8734,0,0,1894,,,,,,1,1,0.396457952,871,456,345,111,0,111
17669,9347,8381,0,0,669,,,,,,1,1,0.139798404,239,178,104,74,0,74
17669,10463,7212,0,0,678,,,,,,1,1,0.146139432,225,190,117,73,0,73
17669,8811,9111,0,2,764,,,,,,1,1,0.163243481,311,189,114,75,0,75
17669,9124,8589,0,0,639,,,,,,1,1,0.144507281,243,162,90,72,0,72
17669,8816,8884,0,0,1272,,,,,,1,1,0.269623327,518,331,239,92,0,92
17669,8775,8906,0,2,859,,,,,,1,1,0.182619289,320,229,148,81,0,81
17669,9534,8156,0,0,794,,,,,,1,1,0.169778972,253,232,155,77,1,76
17669,9820,8158,0,0,1332,,,,,,1,1,0.301657299,518,353,245,108,0,108
17669,9095,8589,0,0,1350,,,,,,1,1,0.287294253,558,341,231,110,1,109
17669,8748,8927,0,0,1100,,,,,,1,1,0.243032471,447,281,190,91,0,91
17669,8578,9400,0,0,891,,,,,,1,1,0.188088376,343,234,154,80,0,80
17669,9554,8140,0,2,1689,,,,,,1,1,0.363086252,728,428,323,105,2,103
17669,7989,9831,0,0,1189,,,,,,1,1,0.246758376,494,303,214,89,0,89
17669,7916,9761,0,0,2201,,,,,,1,1,0.450341003,939,567,439,128,0,128
17669,8991,8692,0,0,672,,,,,,1,1,0.159466266,242,181,113,68,0,68
17669,8675,9060,0,0,1249,,,,,,1,1,0.309369554,485,333,235,98,0,98
17669,9797,7916,0,0,917,,,,,,1,1,0.192347969,340,246,161,85,0,85
17669,9063,8623,0,0,1353,,,,,,1,1,0.282158069,541,356,256,100,0,100
17669,8832,9142,0,0,580,,,,,,1,1,0.129072533,193,159,90,69,0,69
17669,9170,8523,0,2,911,,,,,,1,1,0.200544819,363,233,151,82,0,82
17669,8609,9071,0,0,3007,,,,,,1,1,0.636516576,1383,745,611,134,0,134
17669,8280,9416,0,0,452,,,,,,1,1,0.10933212,136,125,59,66,0,66
17669,8195,9479,0,0,1082,,,,,,1,1,0.263782444,435,280,193,87,0,87
17669,9365,8328,0,0,1765,,,,,,1,1,0.358785949,755,451,343,108,0,108
17669,7785,9905,0,0,653,,,,,,1,1,0.166112546,253,163,89,74,0,74
17669,8540,9141,0,0,1054,,,,,,1,1,0.233963219,392,286,196,90,1,89
17669,8348,9344,0,0,955,,,,,,1,1,0.197762975,348,259,170,89,0,89
17669,8998,8683,0,0,1457,,,,,,1,1,0.304088709,602,381,288,93,0,93
17669,8284,9408,0,0,827,,,,,,1,1,0.176293032,315,217,139,78,0,78
17669,8690,8984,0,0,1017,,,,,,1,1,0.22265058,380,272,179,93,0,93
17669,9012,8772,0,0,1017,,,,,,1,1,0.213140024,391,267,175,92,0,92
17669,8934,8801,0,0,679,,,,,,1,1,0.145059649,259,173,99,74,0,74
17669,9468,8438,0,0,951,,,,,,1,1,0.201142936,396,237,156,81,0,81
17669,7871,9818,0,0,970,,,,,,1,1,0.244201915,388,246,156,90,1,89
17669,9073,8735,0,0,2355,,,,,,1,1,0.500317674,1115,561,443,118,0,118
17669,8990,8816,2,0,906,,,,,,1,1,0.201765464,324,243,147,96,1,95
17669,9727,7951,0,0,1634,,,,,,1,1,0.352920278,646,438,326,112,0,112
17669,8570,9322,0,0,1469,,,,,,1,1,0.316371,606,381,280,101,0,101
17669,8778,9003,0,0,1380,,,,,,1,1,0.3106815,567,355,252,103,0,103
17669,9262,8430,0,0,1863,,,,,,1,1,0.419827388,792,471,342,129,1,128
17669,9324,8376,0,0,677,,,,,,1,1,0.150592487,250,178,107,71,0,71
17669,9769,7942,0,0,1318,,,,,,1,1,0.274222213,536,341,241,100,0,100
17669,8938,8751,0,0,1439,,,,,,1,1,0.318707659,606,366,265,101,0,101
17669,9388,8326,2,0,1434,,,,,,1,1,0.339094728,572,378,272,106,1,105
17669,9023,8669,0,0,1952,,,,,,1,1,0.527374107,838,501,389,112,0,112
17669,8556,9474,2,0,1154,,,,,,1,1,0.281746885,466,298,206,92,0,92
17669,9167,8594,0,0,762,,,,,,1,1,0.200984275,286,201,127,74,0,74
17669,8920,8761,0,0,882,,,,,,1,1,0.184682196,328,234,148,86,0,86
17669,7992,9689,0,0,598,,,,,,1,1,0.16226308,196,166,96,70,0,70
17669,8919,8991,0,0,603,,,,,,1,1,0.180735406,224,155,86,69,0,69
17669,9162,8512,0,0,647,,,,,,1,1,0.133460557,231,173,103,70,2,68
17669,9198,8489,0,0,504,,,,,,1,1,0.110627796,189,124,57,67,0,67
17669,9716,7962,0,0,1427,,,,,,1,1,0.304434492,586,376,287,89,0,89
17669,9181,8617,0,0,2862,,,,,,1,1,0.745864856,1240,747,619,128,0,128
17669,8407,9410,0,0,2059,,,,,,1,1,0.43874688,910,513,390,123,0,123
17669,9935,7749,0,0,583,,,,,,1,1,0.142007741,214,152,87,65,0,65
17669,9626,8153,0,0,912,,,,,,1,1,0.197314999,374,229,149,80,0,80
17669,9863,8174,0,0,662,,,,,,1,1,0.144651303,220,182,104,78,0,78
17669,8937,8748,0,0,1369,,,,,,1,1,0.302371858,571,350,252,98,1,97
17669,8672,9285,0,0,1075,,,,,,1,1,0.225590127,450,268,179,89,0,89
17669,7785,10244,0,0,752,,,,,,1,1,0.159919222,257,206,123,83,0,83
17669,9001,8856,2,0,2743,,,,,,1,1,0.555741266,1219,689,543,146,6,140
17669,9395,8552,0,0,951,,,,,,1,1,0.203546127,392,237,152,85,0,85
17669,8330,9361,0,2,3476,,,,,,1,1,0.703045812,1677,830,691,139,2,137
17669,8628,9070,0,0,909,,,,,,1,1,0.191584449,328,247,160,87,0,87
17669,9219,8834,2,0,1766,,,,,,1,1,0.383355641,725,460,339,121,2,119
17669,9018,8669,0,2,3410,,,,,,1,1,0.720749318,1592,834,684,150,0,150
17669,9019,8656,0,0,744,,,,,,1,1,0.162720575,277,197,124,73,0,73
17669,8967,8718,0,0,892,,,,,,1,1,0.188852515,323,243,160,83,0,83
17669,9225,8568,0,0,5825,,,,,,1,1,1.193896051,2748,1451,1276,175,0,175
17669,8118,9595,0,0,1250,,,,,,1,1,0.259623124,512,322,228,94,0,94
17669,9553,8396,0,2,2143,,,,,,1,1,0.433536536,905,560,442,118,0,118
17669,9125,8558,0,0,1039,,,,,,1,1,0.217772071,421,266,180,86,0,86
17669,9533,8291,0,0,710,,,,,,1,1,0.151745812,251,193,120,73,0,73
17669,9172,8635,0,0,575,,,,,,1,1,0.127451284,219,145,79,66,0,66
17669,9936,7739,0,0,3095,,,,,,1,1,0.663395286,1410,775,640,135,0,135
17669,7540,10142,0,0,770,,,,,,1,1,0.172968542,296,194,108,86,0,86
17669,9589,8134,0,0,1328,,,,,,1,1,0.27728079,551,343,252,91,1,90
17669,9220,8512,0,0,1069,,,,,,1,1,0.248157774,430,268,165,103,2,101
17669,9690,8002,2,0,656,,,,,,1,1,0.140350381,228,177,103,74,0,74
17669,7878,9808,2,0,2240,,,,,,1,1,0.458842418,916,601,479,122,2,120
17669,8512,9275,0,0,1594,,,,,,1,1,0.329541181,675,407,302,105,0,105
17669,8705,8982,0,0,1173,,,,,,1,1,0.247272153,470,307,218,89,0,89
17669,8783,9124,0,0,2214,,,,,,1,1,0.453366639,1002,544,420,124,0,124
17669,9339,8448,0,0,561,,,,,,1,1,0.123448903,202,146,79,67,0,67
17669,9825,8157,0,0,6850,,,,,,1,1,1.499149133,3377,1653,1486,167,0,167
17669,7625,10070,0,0,1698,,,,,,1,1,0.359476878,726,426,306,120,0,120
17669,8314,9438,0,0,548,,,,,,1,1,0.121280687,173,155,90,65,0,65
17669,9472,8212,0,0,1306,,,,,,1,1,0.275406988,534,337,239,98,0,98
17669,8903,8972,0,0,538,,,,,,1,1,0.122303519,174,148,80,68,0,68
17669,7769,10071,0,0,501,,,,,,1,1,0.110592546,160,136,67,69,0,69
17669,8532,9208,0,0,507,,,,,,1,1,0.113447232,172,135,70,65,0,65
17669,8678,9298,0,0,662,,,,,,1,1,0.142321855,244,173,101,72,1,71
17669,9021,8978,0,2,3122,,,,,,1,1,0.646401257,1433,775,636,139,1,138
17669,8841,9175,0,0,1262,,,,,,1,1,0.271597791,502,330,230,100,1,99
17669,9271,8413,0,0,2564,,,,,,1,1,0.56176396,1141,650,527,123,0,123
17669,8455,9242,4,0,878,,,,,,1,1,0.185874489,328,236,158,78,2,76
17669,8371,9319,0,4,892,,,,,,1,1,0.244057563,350,229,145,84,0,84
17669,9134,8546,0,2,1160,,,,,,1,1,0.241209178,464,300,204,96,0,96
17669,10243,7647,0,0,869,,,,,,1,1,0.183341589,329,232,156,76,0,76
17669,9124,8576,0,0,759,,,,,,1,1,0.168280954,292,196,121,75,0,75
17669,9029,8745,0,0,528,,,,,,1,1,0.113716915,163,150,85,65,0,65
17669,8445,9317,0,0,891,,,,,,1,1,0.188467661,359,224,140,84,0,84
17669,10035,7983,0,0,4370,,,,,,1,1,0.9141344,2097,1059,904,155,0,155
17669,8391,9444,2,2,1252,,,,,,1,1,0.261359495,524,318,226,92,0,92
17669,8808,9228,0,0,1048,,,,,,1,1,0.222118524,414,271,179,92,0,92
17669,9430,8266,2,0,4199,,,,,,1,1,0.889134883,1988,1029,876,153,4,149
17669,8914,8989,0,0,842,,,,,,1,1,0.180537964,306,227,145,82,0,82
17669,9789,8070,0,0,2072,,,,,,1,1,0.42491422,883,537,422,115,0,115
17669,8087,9645,0,0,848,,,,,,1,1,0.179815495,295,237,158,79,1,78
17669,9208,8471,2,0,3216,,,,,,1,1,0.658301252,1447,814,673,141,0,141
17669,8540,9168,0,0,707,,,,,,1,1,0.155094452,233,198,120,78,0,78
17669,8809,9205,0,4,846,,,,,,1,1,0.177650909,310,229,151,78,0,78
17669,8852,8844,0,2,1672,,,,,,1,1,0.340546207,741,406,287,119,0,119
17669,9345,8563,0,0,2130,,,,,,1,1,0.437561096,896,552,422,130,0,130
17669,8814,8868,0,0,559,,,,,,1,1,0.122678065,195,149,83,66,0,66
17669,9006,9026,0,2,748,,,,,,1,1,0.158848318,288,192,116,76,0,76
17669,8775,8902,2,0,4965,,,,,,1,1,1.000494469,2210,1297,1136,161,2,159
17669,8895,8789,0,0,1994,,,,,,1,1,0.422832726,836,523,411,112,0,112
17669,8487,9270,0,0,577,,,,,,1,1,0.130674053,204,153,86,67,0,67
17669,8717,9088,0,0,582,,,,,,1,1,0.152650193,213,149,78,71,0,71
17669,8961,8726,0,0,1101,,,,,,1,1,0.230935332,420,292,195,97,0,97
17669,9181,8630,0,0,648,,,,,,1,1,0.139932687,241,166,91,75,0,75
17669,9065,8630,0,0,1224,,,,,,1,1,0.262973714,502,313,217,96,0,96
17669,8561,9161,0,0,1874,,,,,,1,1,0.39464019,822,468,352,116,0,116
17669,9696,7998,0,0,1041,,,,,,1,1,0.223831015,403,276,190,86,0,86
17669,8825,8853,0,0,1885,,,,,,1,1,0.394704881,820,477,366,111,0,111
17669,8046,9667,0,0,648,,,,,,1,1,0.139507551,210,182,108,74,0,74
17669,8406,9272,0,0,1411,,,,,,1,1,0.292927523,579,357,239,118,0,118
17669,7180,10511,0,0,2256,,,,,,1,1,0.461383618,928,599,469,130,0,130
17669,9029,8793,0,0,627,,,,,,1,1,0.137533236,217,169,97,72,0,72
17669,9034,8665,0,0,561,,,,,,1,1,0.122289049,200,146,77,69,0,69
17669,9007,8720,2,0,1152,,,,,,1,1,0.242456434,463,296,199,97,0,97
17669,7761,9913,0,2,2695,,,,,,1,1,0.551803577,1129,713,573,140,2,138
