key_bits,recovered_zeros_x,recovered_zeros_y,wrong_zeros_x,wrong_zeros_y,queries,traces,calibration_traces,threshold,tpr,tnr,attack_tpr,attack_tnr,duration_seconds,test_outcomes_0_false,test_outcomes_0_true,test_outcomes_1_false,test_outcomes_1_true,test_outcomes_2_false,test_outcomes_2_true
17669,7777,10020,0,0,510,,,,,,1,1,0.115955743,160,143,79,64,0,64
17669,9029,8745,0,0,528,,,,,,1,1,0.120128925,163,150,85,65,0,65
17669,8069,9626,2,0,522,,,,,,1,1,0.122128169,175,140,73,67,0,67
17669,9339,8448,0,0,561,,,,,,1,1,0.130685224,202,146,79,67,0,67
17669,9671,8018,0,0,670,,,,,,1,1,0.14579017,243,176,101,75,0,75
17669,8934,8801,0,0,679,,,,,,1,1,0.148498443,259,173,99,74,0,74
17669,9121,8816,0,0,703,,,,,,1,1,0.149504775,257,184,106,78,1,77
17669,9462,8223,0,0,650,,,,,,1,1,0.165525533,210,185,115,70,0,70
17669,7836,9854,0,0,768,,,,,,1,1,0.167698718,300,194,114,80,0,80
17669,8532,9439,0,0,815,,,,,,1,1,0.180899691,301,217,137,80,0,80
17669,8740,9057,0,0,830,,,,,,1,1,0.18323151,291,230,151,79,1,78
17669,9323,8377,0,0,960,,,,,,1,1,0.204090826,385,244,157,87,0,87
17669,9075,8880,0,0,1008,,,,,,1,1,0.212872993,400,257,163,94,0,94
17669,8116,9792,2,0,1197,,,,,,1,1,0.25162757,459,318,216,102,0,102
17669,9335,8664,0,0,1266,,,,,,1,1,0.26714526,532,318,220,98,0,98
17669,9473,8233,0,0,1293,,,,,,1,1,0.27287698,564,317,222,95,0,95
17669,9276,8646,0,0,1301,,,,,,1,1,0.273231465,521,344,252,92,0,92
17669,9190,8564,0,0,492,,,,,,1,1,0.108390541,176,127,65,62,1,61
17669,9006,9026,0,2,748,,,,,,1,1,0.159800482,288,192,116,76,0,76
17669,8632,9045,0,0,750,,,,,,1,1,0.165855476,293,193,122,71,0,71
17669,9324,8376,0,0,677,,,,,,1,1,0.145193683,250,178,107,71,0,71
17669,8198,9500,0,0,546,,,,,,1,1,0.131618916,193,142,73,69,1,68
17669,8883,8963,0,0,743,,,,,,1,1,0.160027336,284,192,117,75,0,75
17669,9859,8105,0,0,846,,,,,,1,1,0.179258781,323,223,146,77,0,77
17669,9293,8408,0,0,1505,,,,,,1,1,0.315552875,641,384,288,96,1,95
17669,8940,8745,0,0,823,,,,,,1,1,0.174205939,296,222,139,83,0,83
17669,9483,8193,0,0,1660,,,,,,1,1,0.34285964,698,431,331,100,0,100
17669,8619,9062,0,0,743,,,,,,1,1,0.159794372,279,193,115,78,0,78
17669,8354,9329,0,0,1805,,,,,,1,1,0.374023533,789,454,346,108,2,106
17669,9167,8594,0,0,762,,,,,,1,1,0.16209267,286,201,127,74,0,74
17669,8046,9667,0,0,648,,,,,,1,1,0.139323911,210,182,108,74,0,74
17669,9345,8376,0,2,1136,,,,,,1,1,0.239565311,465,290,199,91,0,91
17669,10229,7467,0,0,543,,,,,,1,1,0.120959965,172,152,85,67,0,67
17669,8453,9287,2,0,543,,,,,,1,1,0.118627487,179,148,80,68,1,67
17669,9391,8428,0,0,883,,,,,,1,1,0.186303398,337,233,153,80,0,80
17669,7715,10017,0,0,1008,,,,,,1,1,0.21253624,391,266,181,85,0,85
17669,9283,8392,0,0,695,,,,,,1,1,0.149100861,271,174,98,76,0,76
17669,8811,9111,0,2,764,,,,,,1,1,0.178919857,311,189,114,75,0,75
17669,9075,8634,0,0,671,,,,,,1,1,0.144602235,241,178,104,74,0,74
17669,8280,9416,0,0,452,,,,,,1,1,0.101544657,136,125,59,66,0,66
17669,8594,9082,0,0,837,,,,,,1,1,0.178634284,320,218,137,81,0,81
17669,8973,8964,0,0,1284,,,,,,1,1,0.270716875,512,337,239,98,0,98
17669,10043,7672,0,0,649,,,,,,1,1,0.140712768,233,172,100,72,0,72
17669,9726,7951,0,0,1350,,,,,,1,1,0.281444276,589,331,232,99,0,99
17669,9220,8689,0,2,1368,,,,,,1,1,0.280544525,550,357,253,104,0,104
17669,9723,7996,0,0,1612,,,,,,1,1,0.332675095,672,419,317,102,0,102
17669,9938,8005,0,0,3023,,,,,,1,1,0.619926913,1398,750,625,125,0,125
