key_bits,recovered_zeros_x,recovered_zeros_y,wrong_zeros_x,wrong_zeros_y,queries,traces,calibration_traces,threshold,tpr,tnr,attack_tpr,attack_tnr,duration_seconds,test_outcomes_0_false,test_outcomes_0_true,test_outcomes_1_false,test_outcomes_1_true,test_outcomes_2_false,test_outcomes_2_true
17669,7777,10020,0,0,1055,317530,203094,12487,1,0.986,1,0.9958333333333333,58.455129123,160,143,79,64,1,63
17669,9142,8736,0,0,1989,404676,203948,12489,0.996,0.99,1,1,91.821420023,321,209,134,75,0,75
17669,8069,9626,2,0,1322,338458,204424,12488,0.996,0.978,1,1,105.329525001,175,140,73,67,0,67
17669,9035,8785,0,0,3521,560022,203675,12498,0.998,0.982,1,1,128.972254426,686,359,273,86,0,86
17669,9001,9034,0,0,2299,438910,205941,12483,0.996,0.982,1,1,142.46425798,342,249,164,85,0,85
17669,9113,8585,0,0,5997,810175,203466,12489,0.994,0.982,1,1,153.945271469,1213,609,490,119,0,119
17669,7916,9794,2,0,4725,682790,203702,12500,0.998,0.984,1,1,154.423592061,844,521,416,105,0,105
17669,8619,9062,0,0,1441,349864,204093,12489,1,0.986,1,1,66.403215364,279,193,115,78,0,78
17669,8632,9045,0,0,1841,392114,206578,12503,0.998,0.978,1,1,75.869207309,293,193,122,71,0,71
17669,10160,7665,2,0,8753,1089410,203436,12497,0.996,0.984,1,1,197.783068886,1682,964,825,139,3,136
17669,7967,9775,0,0,2301,435800,204029,12492,1,0.982,1,0.991701244813278,79.734360513,483,333,236,97,4,93
17669,9292,8453,0,0,3325,540529,205111,12489,0.996,0.972,1,1,106.410243324,560,353,249,104,0,104
17669,8593,9110,0,0,2261,432100,203741,12486,0.996,0.982,1,1,97.599471735,354,243,161,82,0,82
17669,8351,9323,0,0,4810,689666,204054,12496,0.998,0.992,1,1,134.271071178,1004,630,493,137,1,136
17669,7790,9913,0,0,1364,342070,204398,12500,1,0.984,1,0.986449864498645,62.510117598,270,175,96,79,3,76
17669,9221,8459,1,0,2346,441684,205028,12396,1,1,0.997624703087886,0.9993351063829787,149.632299235,1037,592,467,125,0,125
17669,7456,10218,0,0,3460,554435,204398,12493,0.994,0.982,1,1,115.274362425,595,360,247,113,0,113
17669,8922,8969,0,0,2817,490371,206719,12490,1,0.978,1,0.9908906882591093,133.216408268,699,394,287,107,2,105
17669,8402,9402,0,0,2782,486136,203703,12486,0.984,0.978,1,1,95.695116216,352,242,160,82,0,82
17669,8519,9201,2,0,2064,413459,203814,12485,0.996,0.976,1,1,78.418498035,288,223,130,93,1,92
17669,8346,9384,0,0,3763,585622,204954,12484,0.99,0.98,1,1,115.099993078,496,321,226,95,0,95
17669,7988,9686,0,2,4652,674568,204415,12490,0.994,0.992,1,1,127.001680343,1034,575,436,139,2,137
17669,10183,7693,0,0,17555,2016054,205033,12473,0.988,0.976,1,1,382.032680626,2795,1437,1283,154,0,154
17669,8139,9547,0,0,2324,439653,203997,12505,1,0.988,1,1,97.937920297,562,321,225,96,1,95
17669,8671,9058,2,0,6911,902049,204768,12495,0.986,0.982,1,1,166.714107144,965,582,450,132,3,129
17669,8964,8733,0,0,6107,831240,204563,12474,0.988,0.986,1,1,197.006196129,874,504,387,117,1,116
17669,8432,9393,0,2,7169,927681,204106,12413,0.998,1,1,1,249.12476449,2097,989,833,156,0,156
17669,8998,8925,0,0,3675,575511,204492,12489,1,0.986,1,0.9950980392156863,108.770604488,998,534,429,105,1,104
17669,8479,9308,0,0,1605,366305,204540,12487,0.998,0.958,1,1,67.336194536,235,172,104,68,0,68
17669,9347,8381,0,0,2015,407135,203788,12501,0.98,0.988,1,1,126.730466124,239,178,104,74,0,74
17669,8794,8891,0,2,4706,681374,204706,12485,0.978,0.97,1,1,123.395133006,655,390,279,111,0,111
17669,9019,8656,0,0,1831,389071,204232,12487,0.998,0.978,1,1,102.083304779,277,197,124,73,0,73
17669,8917,8871,0,0,4317,639911,203588,12490,1,0.974,1,1,132.658224677,1073,641,505,136,0,136
17669,384,17664,0,62,425,247177,204210,12473,0.996,0.982,0.5460992907801419,NaN,53.595427802,0,47,0,47,0,47
17669,8664,9187,0,0,2138,420654,204310,12479,0.992,0.986,1,1,88.967883968,352,218,138,80,0,80
17669,9136,8785,0,0,3062,513028,204440,12514,0.998,0.974,1,1,176.914510893,541,328,245,83,1,82
17669,8785,8889,2,0,8845,1095215,203480,12497,1,0.982,1,0.9943563558183284,199.503855902,2494,1382,1220,162,7,155
17669,9710,7979,0,0,2138,421042,204948,12487,0.998,0.974,1,1,102.833122036,308,230,145,85,0,85
17669,8011,9664,0,0,3788,586149,203769,12496,0.998,0.982,0.9968,1,237.30754486,661,398,284,114,1,113
17669,7540,10452,0,0,1922,397489,203591,12494,0.998,0.98,1,1,100.514101658,301,194,109,85,0,85
17669,9042,8632,0,0,1531,358806,204275,12499,0.992,0.988,1,1,101.430996953,225,161,92,69,0,69
17669,7769,10071,0,0,1527,357375,203373,12485,0.988,0.988,1,1,90.923204865,160,136,67,69,0,69
17669,9496,8272,0,0,2944,500709,203749,12497,0.99,0.988,1,1,91.551019039,370,262,178,84,0,84
17669,8238,9452,0,0,4078,615459,203544,12486,0.992,0.978,1,1,116.240377756,727,436,329,107,0,107
17669,8487,9270,0,0,1151,319990,203823,12479,1,0.984,1,1,139.974150484,204,153,86,67,0,67
17669,9200,8798,0,0,1105,315463,203957,12489,1,0.974,1,0.9847908745247148,98.999715849,181,148,82,66,0,66
17669,8571,9106,0,0,4212,629049,204488,12481,0.994,0.978,1,1,135.341558722,786,442,338,104,0,104
17669,8331,9352,0,0,4424,650447,204217,12503,1,0.972,1,0.9994359842075579,132.920737968,1256,639,517,122,0,122
17669,8787,8887,0,0,2738,480641,203730,12499,1,0.988,1,1,92.614519003,640,397,294,103,3,100
17669,8916,8835,0,0,1257,330304,203704,12481,0.998,0.97,1,1,85.872163445,156,135,70,65,0,65
17669,8689,9008,0,0,2266,431648,203661,12501,0.994,0.98,1,1,105.340886606,389,228,142,86,0,86
17669,9313,8624,0,0,2232,428592,203627,12502,0.998,0.974,1,1,85.921189174,306,249,159,90,0,90
17669,9124,8552,0,0,1894,400777,203840,12497,0.998,0.976,1,1,98.826547491,298,199,124,75,0,75
17669,9019,8918,2,0,6932,903747,203981,12508,0.99,0.98,1,1,165.984928901,1002,591,476,115,0,115
17669,9828,7894,0,0,3360,543729,203528,12499,0.992,0.988,1,1,113.784627777,511,382,278,104,0,104
17669,9858,7869,0,0,1286,334266,203948,12490,0.994,0.99,1,1,116.870808778,171,134,66,68,0,68
17669,9498,8385,0,0,4920,699909,203545,12488,0.986,0.988,1,1,186.732442218,688,416,326,90,0,90
17669,7470,10212,0,0,1314,337095,204456,12488,1,0.982,1,0.9935483870967742,131.121328576,202,183,107,76,1,75
17669,8859,9099,0,0,2141,420423,204628,12493,0.996,0.984,1,1,91.252916012,317,233,154,79,0,79
17669,8940,8911,0,0,2392,451087,204464,12483,0.99,0.978,1,1,89.334990772,306,209,139,70,0,70
17669,8646,9135,0,0,3038,510734,204461,12493,0.98,0.976,1,1,146.299905278,394,253,159,94,0,94
17669,9147,8542,0,0,1861,392280,204281,12490,0.992,0.982,1,1,75.781918892,266,205,132,73,0,73
17669,9824,7853,0,0,3619,569759,204580,12491,0.998,0.988,1,1,109.227984903,612,377,267,110,0,110
17669,8756,8921,0,0,2682,475199,204782,12481,0.998,0.984,1,1,87.920854949,468,272,180,92,0,92
17669,8691,9078,0,0,1764,381609,203657,12495,0.996,0.978,1,1,108.191656591,255,192,119,73,0,73
17669,8348,9334,0,0,4435,651770,203942,12501,0.994,0.988,1,1,133.425044076,767,477,353,124,0,124
17669,8917,8903,0,0,4041,611934,204350,12493,0.99,0.982,1,1,115.10805583,558,338,235,103,0,103
17669,8317,9398,0,0,4157,623369,203970,12474,0.996,0.992,1,1,122.121078907,912,514,398,116,0,116
17669,8759,8922,0,0,2182,425586,204538,12480,0.998,0.982,1,1,81.703043977,337,234,150,84,0,84
17669,9088,8645,0,0,1444,349339,203604,12491,1,0.984,1,0.9976359338061466,94.159679789,299,196,124,72,0,72
17669,8808,8924,0,0,4624,673145,204167,12493,0.99,0.98,1,1,161.258855729,633,394,277,117,0,117
17669,8390,9296,2,2,2398,446686,203935,12426,0.998,0.998,1,1,96.384920864,530,288,196,92,0,92
17669,8289,9400,2,0,4424,650982,204175,12485,0.996,0.978,1,1,180.970458958,771,481,369,112,1,111
17669,9679,8025,0,0,2619,468492,203798,12488,0.99,0.984,1,1,169.316268612,350,219,140,79,0,79
17669,9173,8509,0,0,3645,572302,204069,12490,0.996,0.984,1,1,111.088642117,619,395,292,103,0,103
17669,1152,16896,0,52,441,248376,203973,12491,0.994,0.986,0.5172413793103449,1,72.3266823,0,49,0,49,2,47
